tas,"	Year", Month, Country, ISO3, ISO2
26.3651,1915,7,BRB,,
26.5651,1915,8,BRB,,
26.5988,1915,9,BRB,,
26.5325,1915,10,BRB,,
26.1988,1915,11,BRB,,
25.4325,1915,12,BRB,,
24.6662,1916,1,BRB,,
24.5662,1916,2,BRB,,
24.7999,1916,3,BRB,,
25.3662,1916,4,BRB,,
26.4651,1916,5,BRB,,
26.4313,1916,6,BRB,,
26.1651,1916,7,BRB,,
26.3651,1916,8,BRB,,
26.2988,1916,9,BRB,,
26.0662,1916,10,BRB,,
25.8988,1916,11,BRB,,
24.9662,1916,12,BRB,,
24.4662,1917,1,BRB,,
24.4,1917,2,BRB,,
24.6,1917,3,BRB,,
25.4325,1917,4,BRB,,
26.4988,1917,5,BRB,,
26.6651,1917,6,BRB,,
26.3988,1917,7,BRB,,
26.2651,1917,8,BRB,,
26.4325,1917,9,BRB,,
26.6325,1917,10,BRB,,
26.1988,1917,11,BRB,,
25.2662,1917,12,BRB,,
24.6,1918,1,BRB,,
24.5662,1918,2,BRB,,
24.7999,1918,3,BRB,,
25.3662,1918,4,BRB,,
26.3651,1918,5,BRB,,
26.5313,1918,6,BRB,,
26.1988,1918,7,BRB,,
26.6651,1918,8,BRB,,
26.8988,1918,9,BRB,,
26.3325,1918,10,BRB,,
25.9988,1918,11,BRB,,
25.1325,1918,12,BRB,,
24.6662,1919,1,BRB,,
24.7662,1919,2,BRB,,
24.9662,1919,3,BRB,,
25.3662,1919,4,BRB,,
26.5651,1919,5,BRB,,
26.4313,1919,6,BRB,,
25.9988,1919,7,BRB,,
26.3988,1919,8,BRB,,
26.3325,1919,9,BRB,,
26.1662,1919,10,BRB,,
25.8325,1919,11,BRB,,
25.3325,1919,12,BRB,,
24.7,1920,1,BRB,,
24.7662,1920,2,BRB,,
25.0662,1920,3,BRB,,
25.5662,1920,4,BRB,,
26.5651,1920,5,BRB,,
26.2651,1920,6,BRB,,
26.0988,1920,7,BRB,,
26.2988,1920,8,BRB,,
26.3325,1920,9,BRB,,
26.1662,1920,10,BRB,,
25.9988,1920,11,BRB,,
25.2325,1920,12,BRB,,
24.9662,1921,1,BRB,,
24.9,1921,2,BRB,,
25.1,1921,3,BRB,,
25.1325,1921,4,BRB,,
26.5651,1921,5,BRB,,
26.3651,1921,6,BRB,,
25.7651,1921,7,BRB,,
26.3988,1921,8,BRB,,
26.4988,1921,9,BRB,,
26.1662,1921,10,BRB,,
25.9988,1921,11,BRB,,
25.2662,1921,12,BRB,,
24.6662,1922,1,BRB,,
24.5662,1922,2,BRB,,
24.7,1922,3,BRB,,
25.1325,1922,4,BRB,,
26.0651,1922,5,BRB,,
26.0651,1922,6,BRB,,
26.0988,1922,7,BRB,,
26.2651,1922,8,BRB,,
26.4325,1922,9,BRB,,
26.4325,1922,10,BRB,,
25.8988,1922,11,BRB,,
24.7662,1922,12,BRB,,
24.2662,1923,1,BRB,,
24.1,1923,2,BRB,,
24.2,1923,3,BRB,,
25.1662,1923,4,BRB,,
26.5651,1923,5,BRB,,
26.0313,1923,6,BRB,,
26.0988,1923,7,BRB,,
26.4651,1923,8,BRB,,
26.5988,1923,9,BRB,,
26.3325,1923,10,BRB,,
26.0988,1923,11,BRB,,
24.9662,1923,12,BRB,,
24.4662,1924,1,BRB,,
24.4662,1924,2,BRB,,
25.1662,1924,3,BRB,,
25.8325,1924,4,BRB,,
26.7651,1924,5,BRB,,
26.2651,1924,6,BRB,,
26.0651,1924,7,BRB,,
26.2651,1924,8,BRB,,
26.1988,1924,9,BRB,,
26.0325,1924,10,BRB,,
25.8988,1924,11,BRB,,
25.0325,1924,12,BRB,,
24.1662,1925,1,BRB,,
24.2,1925,2,BRB,,
24.7,1925,3,BRB,,
25.4662,1925,4,BRB,,
26.4651,1925,5,BRB,,
26.3651,1925,6,BRB,,
26.1988,1925,7,BRB,,
26.2988,1925,8,BRB,,
26.3988,1925,9,BRB,,
26.5325,1925,10,BRB,,
25.9988,1925,11,BRB,,
25.3325,1925,12,BRB,,
24.7662,1926,1,BRB,,
24.7662,1926,2,BRB,,
25.2,1926,3,BRB,,
25.6662,1926,4,BRB,,
26.8651,1926,5,BRB,,
27.1313,1926,6,BRB,,
26.1651,1926,7,BRB,,
26.4651,1926,8,BRB,,
26.2988,1926,9,BRB,,
26.1662,1926,10,BRB,,
25.9988,1926,11,BRB,,
24.9662,1926,12,BRB,,
24.4662,1927,1,BRB,,
24.0662,1927,2,BRB,,
